Speaker,Utterance,Code FBS,Code systems
B,"I guess, do we decide what a personal--I mean personal assistant",S,1
B,and entertainment system don't necessarily mean--,S,1
A,Go together?,Bs,1
B,--for me unless it's personal assistant,S,1
B,"to make sure that I've watched the TV shows,",Bs,2
B,but it's like the Alexa.,F,1
A,"So right now, we have, I call it the POS4, it's actually the PS4,",S,1
A,"but because it is so hard to use and I'm not a gamer, so right away,",Bs,1
A,the control,S,2
A,that it comes with is,Bs,2
A,a gaming console.,S,3
A,"I mean, it took months to even get to the point where I could, like, watch TV. It's so complicated.",Bs,1
A,"And then I've got, like, state of the art TV,",S,3
A,"I got state of the art, you know, receiver amplifier,",S,3
A,and then state of the art this POS4 thing.,S,1
A,"So they all, you know, are connected together,",Bs,1
A,"So, anyway, this is something that's pretty dear to my heart. I want it to be easy to use.",F,1
B,Anybody used like Alexa,S,1
B,"or any of Google's, like,",S,1
B,integrated systems? I haven't.,F,1
B,Were you just supposed to talk to it,F,1
B,"and play TV,",F,3
B,"get your shopping list, all that kind of stuff?",F,3
C,feed the cat.,F,3
C,So that's a chore.,Bs,3
C,"Lock door,",F,3
C,"control lights,",F,3
C,identify guests.,F,3
B,So we want a POS4,S,1
B,that you could talk to and just ask everything.,Be,1
A,That's right. I want to be able to talk to it.,Be,1
A,"And I actually, admittedly, not tried to use Alexa. We have Alexa,",S,1
C,But that would--you'd have to be able to hook it up through that,Be,1
C,so that it could do stuff.,Bs,1
A,Yes. And I really don't know what her capabilities are.,Bs,1
A,"So whatever we come up with, it may already be out there.",Bs,1
C,"But I think that's the type of thing we're talking about here when we say what it should be,",Be,1
C,"personal assistant and entertainment,",S,1
C,that you can just talk to,Bs,1
C,"and have it do, you know, set an appointment,",F,3
C,call somebody.,F,3
A,"Set an appointment and call somebody, those are use cases.",Be,3
A,[writing on paper],D,0
A,Make phone call.,Be,3
B,Integrated with a music service so it--,F,2
A,Play music.,Be,2
B,"--right, plays music, but also tracks your taste.",F,3
A,Track preferences. Keep going.,Be,2
B,"I'm just thinking that, like, what do individual stuff do?",Be,2
A,Play TV shows.,F,3
B,"They're always trying to suggest, yeah, like, TV shows versus what you previously watched.",Bs,3
C,"Well, it has to be TV shows, streaming video, movies, whatever.",Be,3
A,Remember choices. Movies.,F,3
C,"But also do the--when you think of personal assistant,",S,1
C,"also, you should be able to, like, setup stuff in your, you know, lock your doors,",Be,3
C,"turn on your lights,",Be,3
C,"see who's at the front door,",Be,3
C,"or you know, integrate with all those kinds of things.",F,2
C,"Like mine, right now, when someone's at the front door,",Be,2
C,Google,S,1
C,"says, ""There's someone at the front door,"" or ""There are people at the front door.""",Bs,2
C,It knows whether there's more than one.,Bs,1
A,"Oh, it does? Oh, okay. I didn't know that she did all that, she/he.",Bs,1
C,"Oh, yeah. I'm sure it's some app, but yeah.",S,1
A,"Let's see, identify guests. Okay,",F,2
C,What other types of personal assistant stuff?,S,2
B,"So do you think it'd be better to have something that, like, you buy one system or do you buy a system that tried to integrate systems that you already have?",F,1
A,That's a good question. I want it to self-integrate.,Be,1
A,[writing on paper],D,0
A,Self-integrate with devices.,S,1
A,"So that's, you know, discovery,",Bs,2
A,"operation,",Bs,2
A,"and I don't know what else. So, housework,",F,2
A,do we want it to vacuum our floor or tell this to vacuum our floor?,Be,3
A,"Do--well, I should say command housework.",Be,3
B,Because my Roomba,S,1
B,cannot keep a schedule.,Bs,3
C,"I don't have one, but I've heard you can tell it to go off at the same time every day.",Bs,1
C,"It's supposed to, right.",Bs,1
C,Is it expensive?,Bs,1
B,It's a lot more faith in its firmware than I have experienced.,S,1
A,Okay. So we want it,S,1
A,to be expandable,Be,1
A,so that someday we'll have a thing that dusts for us.,Be,1
B,"Yes, a dusting drone.",F,1
C,"In 2025, yeah.",R,1
A,A dusting drone.,S,1
C,There'll be a drone or a robot,S,1
C,"at our house, right?",S,1
A,"I'm going to write that down, dusting drone.",D,0
C,That can do all of that.,Bs,1
B,"But, yeah, the expandable thing.",S,1
B,I think you'd be toast,Bs,1
B,if it wasn't expandable.,Bs,1
A,How about reminders?,F,3
C,"Timers, reminders.",F,3
A,So that's by voice,Bs,2
A,or is there a better interface for that?,Be,2
A,"Like, do you want just somebody nagging you",Be,3
A,"or do you want to have to, like, check in, remind me what I'm supposed to be doing today?",Be,1
B,I think it should be selectable,F,1
B,whether or not it's voice or integrates,Bs,2
B,with your phone.,S,1
C,"or tablet, or something. Yeah.",S,1
A,"What do you call it, push or pull? Push versus pull or query versus--",Be,1
A,"And that's, like, for calendar.",F,3
A,What about your habits?,Be,3
B,It'll pop up on your TV that you're late. It'll pop up in your bathroom you're late.,Be,3
A,"Pop-ups. Calendar. What about, like, your habits, like, ""You didn't exercise today?""",Be,3
A,What's on your calendar?,Be,3
B,"Integrate with your fridge and it'll start telling you how many times you've already opened this fridge, 5 times at 10 p.m.",F,3
A,"Okay, now, wait a minute, now hold. Can we turn off these features? Feature selection,",F,2
A,I think it's already somewhere. Okay. We're getting there.,Bs,2
A,"What else? Before we move on, we want to make sure we capture all of our dream device features.",S,1
B,Integrate with the automated cat feeder. B: Feed the cat.,Be,3
A, So that's a chore.,Bs,3
A,"Lock door,",Be,3
A,"control lights,",Be,3
A,identify guests.,Be,3
C,"You had dusting in there somewhere, I thought.",Be,3
A,"Command housework, feed cats.",Be,3
A,"So you can do it when you're not home and remote,",Be,3
A,"we want it to be remote, right?",F,1
A,[writing on paper],D,0
A,Remote control.,Be,1
A,"By the way, I do have experience with a sprinkler controller",S,3
A,"which is wireless,",Bs,3
A,and it's wonderful.,Bs,3
A,And I've fallen in love with it. It's just an app and--,S,3
B,"It can control the, I think, heating/cooling your house, environmental controls.",Bs,3
C,It should be able to do all that from--,Bs,3
B,We do it all separate apps.,F,3
C,"Yeah, it's all separate apps",S,3
C,that you can download,Bs,3
C,on your phone,S,1
C,"and then do it or set up a timer, right?",Bs,2
B,Right. But the ultimate is to have--how do you integrate all this into one system?,Be,1
C,Into one thing.,S,1
A,Do you think it should be a single app?,F,1
A,"Just pages and pages of ""Do things for me.""",Be,1
A,"Okay, [writing on paper]",D,0
B,"Or if you had multiple there with pretty house-centric, then I guess you could maybe--",Be,1
A,Integrate with heavy equipment.,Be,2
B,The TV,S,3
B,being able to give you a pop-up,Bs,3
B,"reminder,",S,3
B,then I think you don't necessarily want to separate entertainment from chores and stuff.,Be,1
A,"Oh, that's true. But it's a personal assistant,",S,1
A,"so it can do, you know, whatever we deem we would want our assistant to do [unintelligible].",Bs,1
B,"If it can be mostly voice-controlled,",Be,1
B,maybe the multiple pages thing,S,3
B,wouldn't be as annoying.,Bs,3
A,"Oh, yeah, that's true. [writing on paper]",D,0
A,App,S,1
A,or voice control.,Bs,1
B,Where you only use this if you had to go in.,Be,1
A,"Okay. We don't want this to be involved in our love life, do we? Okay, all right.",F,1
A,"So that's really--like, that's over the line, okay. So nothing too personal.",Be,1
B,This is the family version.,R,1
B,Is there anything that we're missing if we throw in kids in there?,Be,1
B,We need to remind them to do chores or is there anything?,Bs,1
C,Right. Or appointments of where they need to be or that type of thing.,S,1
C,That's all under that.,Bs,3
B,Or tracking their location.,F,3
A,"Oh, limiting their TV time.",F,3
C,"Oh, yeah, limits. Entertainment limits, is that what we want to do?",Be,3
C,Screen time really.,S,3
A,"Oh, yes. And phone,",S,3
A,and computer.,S,3
B,"So, I guess, would it just shut it down or would it give you as the parent a warning?",Be,1
C,The option to set what--,S,1
A,"I say shut it down. I mean, why? Well, what do you think?",Bs,1
C,We'd probably have to put the option on there,S,1
C,to say what you want to happen when this,Bs,1
C,"--it's not really a timer going off, but when.",S,3
A,[writing on paper],D,0
A,Option to cut off.,Be,3
B,"Like, when they can start their school project until the night before and they'd be on computer all night long.",Bs,3
A,"All right, yeah. We forgot shut off the option.",Bs,3
C,"And you have to go in and change it,",Bs,3
C,change the option,S,3
C,that they can be on their computer after.,S,3
A,So option to cut off with override.,Bs,3
B,"Also, if there's multiple family members, also,",S,1
B,"and then it needs to somehow be able to tell if we will get personal preferences for the entertainment system, you know, who is sitting in front of the TV or who will ask the TV to turn on. Like, is it going to do visual recognition,",F,1
B,voice recognition?,F,1
C,"So we kind of are talking about all three of these things at once. What the system would be, well, we really have defined that. How the system works and interacts with people and what the personal assistant and entertainment system would provide.",R,1
C,So we kind of have a whole list of provide and how it interacts with people.,Be,1
A,"True. We've captured some features and some use cases, but what the system would be. [reading documents] Okay, produce these concept designs, develop--oh, goal is to produce a number of concepts and then develop one into a detailed design. Okay, so we have done that. So.",R,1
B,"but concept is you buy the whole system, right?",F,1
C,Yeah. Is it like a home system,S,1
C,that you buy?,Be,1
B,Or does it try to integrate with existing?,Be,1
B,"So you know, if you have a Wi-Fi controlled",Bs,3
B,auto-feeder,S,3
B,"or the Wi-Fi vacuum already,",S,3
B,"but you have to--like, that's a trickier thing to do, interfacing to all this.",Bs,2
A,"So even if you could slap like a Wi-Fi chip on there,",S,3
A,"on the vacuum, you know,",S,3
A,"just stick it on there,",S,3
A,"like, it still has to be integrated with",Bs,3
A,the device.,S,1
B,It still has to be on the API for the device.,F,1
A,"So there would be vendors who would come out with compatible equipment,",F,1
A,but we were just to find the interface,S,2
A,"and leave that to them to figure out,",Bs,2
A,like what the dusting drone would look like.,S,3
A,[writing on paper],D,0
A,for developing the detailed design.,R,1
B,"Well, that, I thought, is a good idea. Like, we provide hubs",S,2
B,with an interface,S,2
B,"for controlling,",Bs,2
B,and the expectation is that outside vendors would be able to interface.,Be,2
C,Yeah. So that's one concept. Is it a piece of hardware,S,1
C,and software,S,1
C,"that people would buy,",Bs,1
C,or do they use their existing laptop,S,1
C,or home computer,S,1
C,"and then they load our stuff onto it,",Bs,1
C,which then can connect with all these other things?,Bs,2
A,I can control,Bs,2
A,my music,S,2
A,"from my computer,",S,1
A,but my computer's in the office,S,1
A,"and I would really rather just be able to, like, load a CD",S,3
A,"Like, it's so, you know, I don't have an iPad anymore,",S,1
A,"and I guess you could stream music,",Be,2
A,but I don't really have a stream.,Bs,2
A,I don't like paying for things monthly.,Bs,3
A,"Now, it takes clicking and paying",Bs,1
A,and all this stuff that I don't really want to do.,Bs,1
A,So I kind of like the idea of having like a central console,S,3
A,that's separate.,Bs,3
B,I also like the central concept just because--,Bs,3
B,so I do have a streaming service,S,2
B,and I also have like 50 gigabytes of music.,S,3
B,"Like, you have to just keep upgrading",Be,3
B,your hard drive space.,S,3
B,And so if you're asking to put a whole bunch of other stuff,S,3
B,onto your existing computer.,S,1
B,"That, I could get frustrated with that, for me, because I'm always running out of computer space.",Bs,3
C,As people ,S,1
C,have movies,S,2
C,and music,S,2
C, all loaded,Bs,2
C,"on their computer or whatever device they have,",S,1
C,"you'd want to be able to communicate with that,",Be,2
C,"I guess, without, you know, have it be hooked up",Bs,2
C,to our central system,S,1
C,so you could access it wirelessly,Bs,1
C,"or whatever but not have to save everything on the system, the central system.",,1
A,"Really, you want, like, a terminal.",S,1
B,"That actually brings a point. Is this going to be cloud serviced or do you have it just in your home, all this information?",F,1
A,Right. [writing on paper],D,0
C,"Now, two different concepts. There's one that it's all in the cloud, which is--",Be,3
A,Versus local.,Be,3
C,"--a server somewhere, right?",S,3
A,"Music,",S,2
A,"movies, yeah.",S,2
C,Or can it just access?,Be,1
C,Because it doesn't change really what we want it to do,Bs,1
C,"if we say, ""Well, it's service,"" you know.",Bs,1
C,"It's really different concepts to say,",Bs,1
C,"Oh, it's something you buy,",Bs,1
C,"you have a console,""",S,3
C,or whatever at home,S,3
C,"that you do stuff on,",Bs,3
C,"or ""No, it's just an app or something",S,1
C,that you add to something you already have at home,Bs,1
C,"and everything goes through the cloud.""",S,3
C,"I mean, those are the different concepts of--",Bs,1
C,or maybe it could do all of those things.,F,1
C,"I mean, from a software standpoint, you could sell them",Be,3
C,something with the software on it,S,3
C,that controls everything,Bs,2
C,or just give them the software to put it,Be,3
C,on their own home computer.,S,3
A,"Yeah. Like, stream music from my PC,",Be,3
A,which we can already do.,Bs,3
B,Or we can do pretty much all these things one at a time,Bs,3
B,except for the dusting drone.,S,3
B,Right? But it's not integrated.,Bs,2
B,"That's where we're, like, trying to figure the ultimate integrated solutions",S,1
B,do not go in through each different app.,S,3
A,"[reading documents] So we need a detailed design before we get done in 40 minutes, with sketches and a verbal description.",R,1
A,[writing on paper],D,0
C,"When I say this, I want it to make a phone call.",Bs,1
C,"When I do this, I want it to do all these things, so.",Bs,1
B,"Like if you did have cloud,",S,3
B,"then that's something that you would touch outside of the system that is not part of your system design, you know",Bs,3
B,"It's something that, you know, you'll have to integrate",Bs,3
B,that's not part of the detailed design.,Bs,1
B,"""Is it just going to be on the computer?",S,1
B,Is it just going to be on the phone?,S,1
B,"Do you have physical hardware?""",S,3
B,"Because we think if it is a very, like, visual,",Be,1
B,"what's the first--like, all the things",S,1
B,it interacts with.,Bs,2
B,Is everything wireless communication?,F,3
A,So it's kind of--let me just start drawing.,D,0
C,"Because right now, with our Google Homes or the little mini Google things at home,",S,3
C,"like the streaming of music,",Bs,2
C,it's really all of them through my husband's phone.,S,1
C,So if he is not there with his phone,Bs,1
C,"and I say, ""Google,",S,3
C," play me whatever music,""",Bs,3
C,"it can only get to what, you know, it goes out to",Bs,1
C, YouTube,S,3
C,"and does stuff,",Bs,3
C,because somehow it can do that without going through,Bs,1
C, his phone.,S,1
B,"Yes. And that is an argument for having some kind of central console,",S,3
B,not just what's hooked to your hardware,S,3
B,if you're hooking up a family system.,Be,1
B,"Because otherwise, you've got that problem.",Bs,1
B,If somebody took their device with them.,S,1
A,"Okay. So the use case is, do we want an integrated console? Are we just kind of--?",S,3
B,"I think we're going in that way, yeah.",Bs,3
A,Okay. [writing on the board] I/we want an integrated console--,D,0
A,"Yeah, that's right. That centralizes entertainment options and personal data,",Bs,1
A,"I want to say, like, requests and actions, like commands.",S,3
B,"For multiple people, right. That's, like, a--",Be,1
A,"Okay, good. For multiple users.",Bs,1
B,So you're going to have to have a way of differentiating users.,Be,2
A,Okay. And it's really for the home.,S,1
A,[writing on the board] Okay. All right.,D,0
A,"So I would be inclined to say, like, this is what we think the console",S,3
A,"looks like,",Bs,3
A,only because the user interface,S,2
A,"turns out to be, I think, pretty significant,",Bs,2
A,[writing on the board],D,0
B,"I have in my--like, it's sort of, like, it's influenced",Bs,1
B,by Alexa or whatnot that's an object,S,1
B,"that's not necessarily like a big screen, right,",S,3
B,but you could enter the data and whatnot,Bs,3
B,"from either from your computer,",S,1
B,but that the central console,S,1
B,"isn't a big screen, right.",S,3
A,Okay. [writing on the board],D,0
B,It's something with some [unintelligible] maybe that you want in your house.,S,1
C,That you don't mind if people see.,Bs,1
A,Import music.,Bs,3
B,Stream from a device.,Bs,3
A,[writing on the board],D,0
C,So we have our box or whatever.,S,1
C,We need--what are our interfaces to everything?,S,2
C,"Is it all Bluetooth or all some sort of wireless, right?",F,3
B,"That's definitely not on my resume. But that, I guess, was leading to my question,is internet of things leaning",S,3
B,on Bluetooth?,S,3
B,And Bluetooth,S,3
B,"is getting stronger, so you can--it's not as limited by space as it used to be.",Bs,3
B,"Although walls,",S,3
B,"if you have a multistory house,",S,3
B,"and you're doing everything by Bluetooth,",S,3
B,you're going to need multiple repeaters or something.,S,3
B,We just know it's going to be wireless.,Be,3
C,"Who knows, in 2025, what is available?",R,0
A,"What new protocols could come out, yeah.",Be,3
B,Okay. So we just know that we want it wireless and--,Be,3
A,And it's just weirdly shaped.,Bs,1
B,We have a central console,S,3
B,and maybe repeaters.,S,3
A,Okay. [writing on the board],D,0
B,"Yes, play music,",Bs,3
B,play TV.,Bs,3
A,"Let's see. So this is, like, that's the source.",S,1
A,"So you could have, like, a middleman here if needed.",S,1
